celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,week_total_score,week_rank,week_percent,week_num,is_valid,is_eliminated,judge_score_std,age_zscore,remaining_weeks,cumulative_rank,elimination_risk,weeks_participated,relative_performance,predicted_fan_vote_score,elimination_prob,judge_rank,fan_rank,combined_rank,rank_eliminated,rank_placement,judge_percent,fan_percent,combined_percent,pct_eliminated,pct_placement,methods_agree,rank_correct,pct_correct
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,Eliminated Week 4,4,week3,26.0,1.0,0.2452830188679245,3,True,0,4.969909455915671,-0.2545855984727916,4,1.3333333333333333,0.25,3,0.9658123639026408,91.35900590550196,0.0864099409449803,1.0,1.0,2.0,False,1.0,0.24528301886792453,0.24496625826537055,0.4902492771332951,False,1.0,True,True,True
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,week4,20.0,4.0,0.217391304347826,4,True,0,2.943920288775949,-0.622320351822379,3,2.75,1.3333333333333333,4,-1.0190493307301365,65.70368169806054,0.3429631830193946,4.0,3.0,7.0,True,4.0,0.21739130434782608,0.22971598306806154,0.4471072874158876,True,4.0,True,False,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,week4,21.0,3.0,0.2282608695652173,4,True,0,2.943920288775949,1.584088168275145,3,1.75,1.0,4,-0.6793662204867574,72.13213455616099,0.2786786544383901,3.0,2.0,5.0,False,2.0,0.22826086956521738,0.25219141107666926,0.4804522806418866,False,3.0,True,True,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,week4,26.0,1.0,0.2826086956521739,4,True,0,2.943920288775949,-0.9900551051719664,3,4.0,0.3333333333333333,4,1.0190493307301365,86.21549997018211,0.1378450002981789,1.0,1.0,2.0,False,1.0,0.2826086956521739,0.3014302672165086,0.5840389628686825,False,1.0,True,True,True
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,Eliminated Week 4,4,week4,25.0,2.0,0.2717391304347826,4,True,1,2.943920288775949,-0.2545855984727916,3,1.5,0.6666666666666666,4,0.6793662204867574,61.970060349090936,0.3802993965090905,2.0,4.0,6.0,False,3.0,0.2717391304347826,0.21666233863876053,0.4884014690735431,False,2.0,True,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,week5,22.5,3.0,0.3082191780821918,5,True,1,2.3629078131263044,-0.622320351822379,2,2.8,1.5,5,-0.7758801774444576,55.28746407973475,0.4471253592026524,3.0,3.0,6.0,True,3.0,0.3082191780821918,0.25048314391417026,0.558702321996362,True,3.0,True,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,week5,27.0,1.0,0.3698630136986301,5,True,0,2.3629078131263044,1.584088168275145,2,1.6,0.5,5,1.1285529853737577,89.09554511365366,0.1090445488634634,1.0,1.0,2.0,False,1.0,0.3698630136986301,0.40365266557767265,0.7735156792763027,False,1.0,True,True,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,week5,23.5,2.0,0.3219178082191781,5,True,0,2.3629078131263044,-0.9900551051719664,2,3.6,1.0,5,-0.3526728079292986,76.34028266484285,0.2365971733515715,2.0,2.0,4.0,False,2.0,0.3219178082191781,0.3458641905081571,0.6677819987273352,False,2.0,True,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,week1,24.0,1.0,0.123076923076923,1,True,0,4.143267631552018,-0.931667942545664,8,1.0,0.125,1,1.086099282057325,93.3219815304551,0.0667801846954489,1.0,1.0,2.0,False,1.0,0.12307692307692308,0.12914738999165892,0.252224313068582,False,1.0,True,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,week1,18.0,8.0,0.0923076923076923,1,True,0,4.143267631552018,2.252220372654792,8,8.0,1.0,1,-0.3620330940191084,67.06305676020447,0.3293694323979552,8.0,8.0,16.0,False,8.0,0.09230769230769231,0.09280791731384755,0.18511560962153986,False,8.0,True,True,True
Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,2,Eliminated Week 3,8,week1,23.0,2.0,0.1179487179487179,1,True,0,4.143267631552018,0.3590975906437101,8,2.0,0.25,1,0.8447438860445862,86.24469071665064,0.1375530928334935,2.0,4.0,6.0,False,3.0,0.11794871794871795,0.11935319550687393,0.23730191345559187,False,3.0,True,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,week1,21.0,5.0,0.1076923076923077,1,True,0,4.143267631552018,0.2730465550977519,8,5.0,0.625,1,0.3620330940191084,85.43537842115586,0.1456462157884414,5.0,5.0,10.0,False,5.0,0.1076923076923077,0.11823319602832451,0.2259255037206322,False,5.0,True,True,True
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,week1,13.0,9.0,0.0666666666666666,1,True,1,4.143267631552018,0.5311996617356267,8,9.0,1.125,1,-1.5688100740828028,22.44375731306536,0.7755624268693464,9.0,10.0,19.0,True,9.0,0.06666666666666667,0.031059699237555007,0.09772636590422168,True,10.0,True,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,week1,19.0,7.0,0.0974358974358974,1,True,0,4.143267631552018,0.1869955195517936,8,7.0,0.875,1,-0.1206776980063694,77.40714388895792,0.2259285611104208,7.0,7.0,14.0,False,7.0,0.09743589743589744,0.10712299970511517,0.2045588971410126,False,7.0,True,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,week1,12.0,10.0,0.0615384615384615,1,True,0,4.143267631552018,-0.4153617292699142,8,10.0,1.25,1,-1.8101654700955416,32.82827594171116,0.6717172405828884,10.0,9.0,19.0,False,9.0,0.06153846153846154,0.04543073439149348,0.10696919592995502,False,9.0,True,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,week1,22.0,4.0,0.1128205128205128,1,True,0,4.143267631552018,-1.1898210491835386,8,4.0,0.5,1,0.6033884900318472,89.11581322564683,0.1088418677435316,4.0,3.0,7.0,False,4.0,0.11282051282051282,0.12332651425024152,0.23614702707075436,False,4.0,True,True,True
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,week1,23.0,2.0,0.1179487179487179,1,True,0,4.143267631552018,0.1869955195517936,8,2.0,0.25,1,0.8447438860445862,89.74633729873467,0.1025366270126532,2.0,2.0,4.0,False,2.0,0.11794871794871795,0.12419909043251676,0.2421478083812347,False,2.0,True,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,week1,20.0,6.0,0.1025641025641025,1,True,0,4.143267631552018,-0.0711575870860811,8,6.0,0.75,1,0.1206776980063694,78.99416516705762,0.2100583483294238,6.0,6.0,12.0,False,6.0,0.10256410256410256,0.10931926314237315,0.2118833657064757,False,6.0,True,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,week2,27.0,2.0,0.135,2,True,0,4.236088342379611,-0.931667942545664,7,1.5,0.2857142857142857,2,1.1278749146893086,98.40154233109108,0.0159845766890891,2.0,2.0,4.0,False,2.0,0.135,0.13412823947064004,0.26912823947064,False,2.0,True,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,week2,22.0,5.0,0.11,2,True,0,4.236088342379611,2.252220372654792,7,6.5,0.7142857142857143,2,-0.052459298357642,92.66742005103876,0.0733257994896124,5.0,5.0,10.0,False,5.0,0.11,0.12631222654936916,0.23631222654936918,False,5.0,True,True,True
Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,2,Eliminated Week 3,8,week2,24.0,3.0,0.12,2,True,0,4.236088342379611,0.3590975906437101,7,2.5,0.4285714285714285,2,0.4196743868611381,97.40485681085612,0.0259514318914389,3.0,3.0,6.0,False,3.0,0.12,0.13276968684058887,0.25276968684058887,False,3.0,True,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,week2,23.0,4.0,0.115,2,True,0,4.236088342379611,0.2730465550977519,7,4.5,0.5714285714285714,2,0.183607544251748,93.41455769243984,0.0658544230756016,4.0,4.0,8.0,False,4.0,0.115,0.127330627827534,0.242330627827534,False,4.0,True,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,week2,20.0,7.0,0.1,2,True,0,4.236088342379611,0.1869955195517936,7,7.0,1.0,2,-0.5245929835764223,85.02089281828532,0.1497910718171468,7.0,7.0,14.0,False,7.0,0.1,0.11588947085370493,0.21588947085370494,False,7.0,True,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,week2,16.0,9.0,0.08,2,True,0,4.236088342379611,-0.4153617292699142,7,9.5,1.2857142857142858,2,-1.4688603540139828,38.36290589855585,0.6163709410144415,9.0,8.0,17.0,True,8.0,0.08,0.05229134531080753,0.13229134531080752,True,9.0,True,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,week2,29.0,1.0,0.145,2,True,0,4.236088342379611,-1.1898210491835386,7,2.5,0.1428571428571428,2,1.6000085999080889,98.54958445171005,0.0145041554828996,1.0,1.0,2.0,False,1.0,0.145,0.13433003131795998,0.27933003131795997,False,1.0,True,True,True
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,week2,17.0,8.0,0.085,2,True,1,4.236088342379611,0.1869955195517936,7,5.0,1.1428571428571428,2,-1.2327935114045927,37.52523359176229,0.624747664082377,8.0,9.0,17.0,False,8.0,0.085,0.05114953890105138,0.1361495389010514,False,8.0,True,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,week2,22.0,5.0,0.11,2,True,0,4.236088342379611,-0.0711575870860811,7,5.5,0.7142857142857143,2,-0.052459298357642,92.2907751004215,0.0770922489957849,5.0,6.0,11.0,False,6.0,0.11,0.1257988329283442,0.2357988329283442,False,6.0,True,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,week3,27.0,1.0,0.1483516483516483,3,True,0,4.527692569068709,-0.931667942545664,6,1.3333333333333333,0.1666666666666666,3,0.9386679716361956,96.5216073766183,0.0347839262338168,1.0,2.0,3.0,False,2.0,0.14835164835164835,0.15341769904413913,0.3017693473957875,False,2.0,True,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,week3,22.0,5.0,0.1208791208791208,3,True,0,4.527692569068709,2.252220372654792,6,6.0,0.8333333333333334,3,-0.1656472891122698,72.09109690150748,0.2790890309849251,5.0,6.0,11.0,False,5.0,0.12087912087912088,0.11458626217280098,0.23546538305192186,False,5.0,True,True,True
Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,2,Eliminated Week 3,8,week3,22.0,5.0,0.1208791208791208,3,True,1,4.527692569068709,0.3590975906437101,6,3.333333333333333,0.8333333333333334,3,-0.1656472891122698,56.60763977017042,0.4339236022982957,5.0,7.0,12.0,False,6.0,0.12087912087912088,0.08997585181080225,0.21085497268992315,False,7.0,True,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,week3,19.0,7.0,0.1043956043956044,3,True,0,4.527692569068709,0.2730465550977519,6,5.333333333333333,1.1666666666666667,3,-0.828236445561349,80.30146324799594,0.1969853675200406,7.0,5.0,12.0,False,6.0,0.1043956043956044,0.12763635061851855,0.23203195501412294,False,6.0,True,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,week3,25.0,4.0,0.1373626373626373,3,True,0,4.527692569068709,0.1869955195517936,6,6.0,0.6666666666666666,3,0.4969418673368094,96.12429951191234,0.0387570048808766,4.0,4.0,8.0,False,4.0,0.13736263736263737,0.15278619217151224,0.2901488295341496,False,4.0,True,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,week3,14.0,8.0,0.0769230769230769,3,True,0,4.527692569068709,-0.4153617292699142,6,9.0,1.3333333333333333,3,-1.9325517063098143,33.75176815505374,0.6624823184494626,8.0,8.0,16.0,True,8.0,0.07692307692307693,0.053647248007537396,0.13057032493061432,True,8.0,True,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,week3,27.0,1.0,0.1483516483516483,3,True,0,4.527692569068709,-1.1898210491835386,6,2.0,0.1666666666666666,3,0.9386679716361956,97.37365002221476,0.0262634997778523,1.0,1.0,2.0,False,1.0,0.14835164835164835,0.15477199085224005,0.3031236392038884,False,1.0,True,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,week3,26.0,3.0,0.1428571428571428,3,True,0,4.527692569068709,-0.0711575870860811,6,4.666666666666667,0.5,3,0.7178049194865025,96.37105750658026,0.0362894249341973,3.0,3.0,6.0,False,3.0,0.14285714285714285,0.15317840532244933,0.2960355481795922,False,3.0,True,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,week4,28.0,1.0,0.1772151898734177,4,True,0,6.778818551368737,-0.931667942545664,5,1.25,0.2,4,0.8008137977782757,95.33148064277822,0.0466851935722178,1.0,1.0,2.0,False,1.0,0.17721518987341772,0.17306973037247492,0.35028492024589264,False,1.0,True,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,week4,21.0,6.0,0.1329113924050632,4,True,0,6.778818551368737,2.252220372654792,5,6.0,1.2,4,-0.2318145204095011,69.88768121396379,0.3011231878603622,6.0,6.0,12.0,False,6.0,0.13291139240506328,0.12687773296401095,0.2597891253690742,False,6.0,True,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,week4,24.0,5.0,0.1518987341772152,4,True,0,6.778818551368737,0.2730465550977519,5,5.25,1.0,4,0.210740473099546,85.21488483564251,0.1478511516435749,5.0,5.0,10.0,False,5.0,0.1518987341772152,0.15470353594411926,0.30660227012133445,False,5.0,True,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,week4,26.0,2.0,0.1645569620253164,4,True,0,6.778818551368737,0.1869955195517936,5,5.0,0.4,4,0.5057771354389109,93.3093939903121,0.0669060600968789,2.0,2.0,4.0,False,2.0,0.16455696202531644,0.16939872904770317,0.3339556910730196,False,2.0,True,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,week4,8.0,7.0,0.050632911392405,4,True,1,6.778818551368737,-0.4153617292699142,5,8.5,1.4,4,-2.1495528256153724,24.100286529957515,0.7589971347004248,7.0,7.0,14.0,True,7.0,0.05063291139240506,0.043752914184440606,0.09438582557684566,True,7.0,True,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,week4,26.0,2.0,0.1645569620253164,4,True,0,6.778818551368737,-1.1898210491835386,5,2.0,0.4,4,0.5057771354389109,92.65021472659816,0.0734978527340184,2.0,3.0,5.0,False,3.0,0.16455696202531644,0.16820202071307036,0.3327589827383868,False,3.0,True,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,week4,25.0,4.0,0.1582278481012658,4,True,0,6.778818551368737,-0.0711575870860811,5,4.5,0.8,4,0.3582588042692284,90.33305962600686,0.0966694037399314,4.0,4.0,8.0,False,4.0,0.15822784810126583,0.16399533677418074,0.32222318487544654,False,4.0,True,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,week5,27.0,2.0,0.1788079470198675,5,True,0,2.9268868558020253,-0.931667942545664,4,1.4,0.5,5,0.6263765644712502,94.16057218931958,0.0583942781068042,2.0,2.0,4.0,False,2.0,0.17880794701986755,0.24637518809232542,0.42518313511219297,False,2.0,True,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,week5,24.0,4.0,0.1589403973509933,5,True,0,2.9268868558020253,2.252220372654792,4,5.6,1.0,5,-0.3986032682998872,41.93305026514111,0.5806694973485889,4.0,4.0,8.0,False,4.0,0.15894039735099338,0.1097196300547856,0.268660027405779,False,4.0,True,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,week5,23.0,5.0,0.152317880794702,5,True,0,2.9268868558020253,0.2730465550977519,4,5.2,1.25,5,-0.740263212556933,38.86689436120084,0.6113310563879917,5.0,5.0,10.0,False,5.0,0.152317880794702,0.10169690122052556,0.25401478201522754,False,5.0,True,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,week5,25.0,3.0,0.1655629139072847,5,True,0,2.9268868558020253,0.1869955195517936,4,4.6,0.75,5,-0.0569433240428413,85.60029324448901,0.1439970675551099,3.0,3.0,6.0,False,3.0,0.16556291390728478,0.22397684995441605,0.38953976386170086,False,3.0,True,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,week5,30.0,1.0,0.1986754966887417,5,True,0,2.9268868558020253,-1.1898210491835386,4,1.8,0.25,5,1.6513563972423877,98.49106414468258,0.0150893585531741,1.0,1.0,2.0,False,1.0,0.1986754966887417,0.25770610659916815,0.4563816032879099,False,1.0,True,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,week5,22.0,6.0,0.1456953642384106,5,True,1,2.9268868558020253,-0.0711575870860811,4,4.8,1.5,5,-1.0819231568139789,23.131790142220765,0.7686820985777923,6.0,6.0,12.0,True,6.0,0.1456953642384106,0.06052532407877908,0.20622068831718968,True,6.0,True,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,week6,30.0,1.0,0.225563909774436,6,True,0,3.507135583350036,-0.931667942545664,3,1.3333333333333333,0.3333333333333333,6,0.9694521124707414,95.31105525856069,0.0468894474143931,1.0,2.0,3.0,False,2.0,0.22556390977443608,0.29619623191607863,0.5217601416905147,False,2.0,True,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,week6,23.0,4.0,0.1729323308270676,6,True,1,3.507135583350036,2.252220372654792,3,5.333333333333333,1.3333333333333333,6,-1.0264787073219623,28.332310536643547,0.7166768946335645,4.0,5.0,9.0,True,5.0,0.17293233082706766,0.08804774639903361,0.2609800772261013,True,5.0,True,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,week6,23.0,4.0,0.1729323308270676,6,True,0,3.507135583350036,0.2730465550977519,3,5.0,1.3333333333333333,6,-1.0264787073219623,33.33478481849588,0.6666521518150412,4.0,4.0,8.0,False,4.0,0.17293233082706766,0.10359383419044611,0.27652616501751376,False,4.0,True,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,week6,27.0,3.0,0.2030075187969924,6,True,0,3.507135583350036,0.1869955195517936,3,4.333333333333333,1.0,6,0.1140531897024398,67.13283727532465,0.3286716272467535,3.0,3.0,6.0,False,3.0,0.20300751879699247,0.20862735581768133,0.4116348746146738,False,3.0,True,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,week6,30.0,1.0,0.225563909774436,6,True,0,3.507135583350036,-1.1898210491835386,3,1.6666666666666667,0.3333333333333333,6,0.9694521124707414,97.67249545240144,0.0232750454759855,1.0,1.0,2.0,False,1.0,0.22556390977443608,0.30353483167676043,0.5290987414511965,False,1.0,True,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,week7,27.5,1.0,0.2696078431372549,7,True,0,3.366501646120693,-0.931667942545664,2,1.2857142857142858,0.5,7,0.5940885257860046,92.6363905220186,0.0736360947798139,1.0,2.0,3.0,False,2.0,0.2696078431372549,0.32107073603634706,0.590678579173602,False,2.0,True,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,week7,20.5,4.0,0.2009803921568627,7,True,0,3.366501646120693,0.2730465550977519,2,4.857142857142857,2.0,7,-1.4852213144650113,50.89994459345149,0.4910005540654851,4.0,3.0,7.0,True,3.0,0.20098039215686275,0.17641536530878038,0.37739575746564313,True,4.0,True,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,week7,26.5,3.0,0.2598039215686274,7,True,1,3.366501646120693,0.1869955195517936,2,4.142857142857143,1.5,7,0.2970442628930023,50.11479806015734,0.4988520193984266,3.0,4.0,7.0,False,3.0,0.25980392156862747,0.1736941066984158,0.4334980282670433,False,3.0,True,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,week7,27.5,1.0,0.2696078431372549,7,True,0,3.366501646120693,-1.1898210491835386,2,1.5714285714285714,0.5,7,0.5940885257860046,94.87217376173116,0.0512782623826884,1.0,1.0,2.0,False,1.0,0.2696078431372549,0.3288197919564567,0.5984276350937117,False,1.0,True,True,True
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,week1,24.0,2.0,0.1132075471698113,1,True,0,4.173509532537552,0.0625316843751797,10,2.0,0.2,1,1.1326852593525716,67.6334161562121,0.323665838437879,2.0,2.0,4.0,False,2.0,0.11320754716981132,0.3040639880447569,0.4172715352145683,False,2.0,True,True,True
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,week1,17.0,8.0,0.080188679245283,1,True,1,4.173509532537552,1.5744088532684155,10,8.0,0.8,1,-0.5445602208425827,2.307784009338998,0.97692215990661,8.0,10.0,18.0,False,9.0,0.08018867924528301,0.010375256039186216,0.09056393528446924,False,9.0,True,False,False
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,week1,16.0,9.0,0.0754716981132075,1,True,1,4.173509532537552,2.28588046215935,10,9.0,0.9,1,-0.784166718013319,3.5393815650978437,0.9646061843490216,9.0,7.0,16.0,False,7.0,0.07547169811320754,0.015912230004914447,0.09138392811812199,False,8.0,True,False,False
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,week1,21.0,5.0,0.0990566037735849,1,True,1,4.173509532537552,-0.5600059734043878,10,5.0,0.5,1,0.4138657678403625,17.729402354994594,0.822705976450054,5.0,4.0,9.0,False,5.0,0.09905660377358491,0.07970723781360571,0.1787638415871906,False,4.0,True,False,False
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,week1,26.0,1.0,0.1226415094339622,1,True,0,4.173509532537552,-0.3821380711816542,10,1.0,0.1,1,1.6118982536940445,67.96553738022008,0.3203446261977991,1.0,1.0,2.0,False,1.0,0.12264150943396226,0.305557127229874,0.4281986366638363,False,1.0,True,True,True
